"","mgi_symbol","Frequency.x","WT_percent_Myh11_TFs","Frequency.y","MutAll_percent_Myh11_TFs","Δfrequency","Δpercent","Murine_RNA-seq_cluster_UP","Murine_RNA-seq_cluster_DOWN"
"13478","Hspb6",923,9.51546391752577,912,9.4020618556701,11,0.11340206185567,"NAcluster_1,","NAcluster_5,"
"13490","Nox4",922,9.50515463917526,913,9.41237113402062,9,0.0927835051546388,"NAcluster_1,cluster_2,","NAcluster_6,cluster_7,"
"13512","Col9a2",922,9.50515463917526,917,9.45360824742268,5,0.0515463917525789,"NAcluster_7,","NAcluster_1,cluster_3,cluster_5,"
"13546","Ccdc3",921,9.49484536082474,917,9.45360824742268,4,0.0412371134020599,"NAcluster_1,cluster_3,",NA
"13611","Klf4",921,9.49484536082474,915,9.43298969072165,6,0.0618556701030908,"NAcluster_6,cluster_7,","NAcluster_1,cluster_2,"
"13613","Fxyd5",921,9.49484536082474,905,9.3298969072165,16,0.16494845360824,"NAcluster_5,","NAcluster_1,cluster_2,cluster_3,"
"13647","Thy1",920,9.48453608247423,913,9.41237113402062,7,0.0721649484536098,"NAcluster_3,cluster_4,",NA
"13651","Mark1",920,9.48453608247423,917,9.45360824742268,3,0.0309278350515498,"NAcluster_1,",NA
"13669","Ccl2",920,9.48453608247423,920,9.48453608247423,0,0,"NAcluster_3,cluster_4,","NAcluster_1,cluster_7,"
"13675","Dhrs3",920,9.48453608247423,917,9.45360824742268,3,0.0309278350515498,NA,"NAcluster_3,"
"13681","Mmp3",920,9.48453608247423,916,9.44329896907217,4,0.0412371134020599,"NAcluster_4,cluster_5,cluster_6,","NAcluster_1,cluster_2,cluster_3,cluster_7,"
"13705","Sorl1",919,9.47422680412371,867,8.93814432989691,52,0.5360824742268,"NAcluster_1,",NA
"13707","Scx",919,9.47422680412371,899,9.2680412371134,20,0.20618556701031,"NAcluster_1,",NA
"13780","Fap",917,9.45360824742268,913,9.41237113402062,4,0.0412371134020599,"NAcluster_6,cluster_7,","NAcluster_1,cluster_2,cluster_5,"
"13790","Bpifb1",917,9.45360824742268,900,9.27835051546392,17,0.17525773195876,"NAcluster_6,cluster_7,","NAcluster_1,cluster_5,"
"13824","Mgll",916,9.44329896907217,916,9.44329896907217,0,0,"NAcluster_1,",NA
"13825","Ecm2",916,9.44329896907217,911,9.39175257731959,5,0.0515463917525807,"NAcluster_1,cluster_7,",NA
"13864","Cxcl12",916,9.44329896907217,908,9.36082474226804,8,0.0824742268041305,"NAcluster_2,cluster_3,cluster_4,","NAcluster_7,"
"13871","Fn1",916,9.44329896907217,898,9.25773195876289,18,0.185567010309281,"NAcluster_5,cluster_7,","NAcluster_1,cluster_2,"
"13911","Fstl3",915,9.43298969072165,865,8.91752577319588,50,0.51546391752577,"NAcluster_1,",NA
"13987","Loxl2",913,9.41237113402062,910,9.38144329896907,3,0.0309278350515498,"NAcluster_3,",NA
"14046","Cebpb",913,9.41237113402062,907,9.35051546391753,6,0.0618556701030908,"NAcluster_6,","NAcluster_5,"
"14048","Jag1",913,9.41237113402062,905,9.3298969072165,8,0.0824742268041199,"NAcluster_3,",NA
"14079","Stmn1",912,9.4020618556701,904,9.31958762886598,8,0.0824742268041199,NA,"NAcluster_7,"
"14091","Irf1",912,9.4020618556701,911,9.39175257731959,1,0.0103092783505101,"NAcluster_3,",NA
"14124","Nt5e",911,9.39175257731959,907,9.35051546391753,4,0.0412371134020599,NA,"NAcluster_1,cluster_2,cluster_3,cluster_4,"
"14125","Prss23",911,9.39175257731959,907,9.35051546391753,4,0.0412371134020599,"NAcluster_3,","NAcluster_6,cluster_7,"
"14146","Npy1r",911,9.39175257731959,909,9.37113402061856,2,0.0206185567010291,"NAcluster_1,",NA
