,A1_CRRA190009494,A2_CRRA190009495,A3_CRRA190009496,A4_CRRA190009497,B1_CRRA190009498,B2_CRRA190009499,B3_CRRA190009500,B4_CRRA190009501,D1_CRRA190009506,D2_CRRA190009507,D3_CRRA190009508,D4_CRRA190009509
Vsig10,538.1891,535.7677,565.3399,621.7003,607.5735,464.0867,624.237,547.3733,687.545,712.7421,714.2726,622.4789
Wsb2,2957.616,2670.827,2711.222,2670.932,2157.572,2618.642,2451.338,2716.14,2809.346,2929.262,2925.568,2829.54
Rfc5,280.2462,359.5151,307.2718,302.0574,296.9283,209.6777,217.3203,206.3249,469.2443,396.8678,437.2023,397.3905
Ksr2,0,0,0,0,0,0,0,0,0,0,0,0
Nos1,0,2.00287,2.008312,3.103329,4.034352,1.863802,2.682967,0.9421227,1.020096,4.499635,0,2.987899
Fbxo21,1932.632,1806.588,1696.02,1685.108,1571.784,1670.899,1579.373,1940.773,1756.606,1861.049,1828.875,1861.461
Tesc,99.88014,154.221,110.4572,121.0298,93.59698,98.78151,80.48901,111.1705,232.582,226.7816,166.4529,193.2174
Fbxw8,3152.527,3124.477,3256.478,3001.954,2629.591,2906.599,2737.521,3058.13,3294.911,3391.825,3340.647,3424.132
Hrk,0,0,0,0,0,0,0,0,0,0,0,0
Rnft2,142.5474,159.2281,227.9434,205.8542,361.478,255.3409,236.9954,211.9776,80.58762,65.69467,80.06596,63.74184
2410131K14Rik,355.8836,361.518,358.4837,339.2973,378.4223,323.3697,400.6564,398.5179,351.9333,465.2622,333.9593,402.3703
Med13l,3297.014,3257.668,2765.446,2952.3,3054.005,3017.495,2925.328,2938.481,2538,2602.589,2397.765,2544.694
4930413E15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0,2.040193,0,0,0
Gm7538,0,0,0,0,0,0,0,0,0,0,0,0
AW549542,0,0,0,0,0,0,0,0,0,0,0,0
Gm16063,0,0,0,0,0,0,0,0,0,0,0,0
Tbx3,0,0,0,0,0,0,0,0,0,0,0,0
Tbx3os2,0,0,0,0,0,0,0,0,0,0,0,0
Tbx5,0,0,0,0,0,0,0,0,0,0,0,0
Rbm19,437.3392,405.5811,423.7539,481.016,456.6887,454.7677,409.5996,448.4504,426.4003,480.561,490.9307,465.1162
Gm10390,0,0,0,0,0,0,0,0,0,0,0,0
Lhx5,0,0,0,1.034443,0,0,0,0,0,0,0,0
Sdsl,39.75811,39.05596,58.24106,73.44546,77.45957,62.43737,50.97637,56.52736,49.98472,50.39591,54.78197,70.7136
Sds,82.42536,84.12053,64.26599,71.37657,102.4726,98.78151,110.896,90.44378,51.00482,75.59386,77.95896,110.5522
Plbd2,8886.423,8952.828,9252.295,8849.66,7928.31,8088.901,7946.948,9039.667,6822.405,7131.021,6822.462,6739.703
